Team,Player,GP,MIN,PTS,P2M,P2A,P2p,P3M,P3A,P3p,FTM,FTA,FTp,OREB,DREB,AST,TOV,STL,BLK,PF,PM
Acqua S.Bernardo Cantù,Andrea La Torre,17,146,51,9,17,52.94118,9,22,40.90909,6,8,75.00000,0,13,11,11,4,2,22,-93
Acqua S.Bernardo Cantù,Andrea Pecchia,28,684,178,60,109,55.04587,10,42,23.80952,28,36,77.77778,17,130,57,47,23,2,50,-29
Acqua S.Bernardo Cantù,Biram Baparapè,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Acqua S.Bernardo Cantù,Dejan Bresolin,1,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Acqua S.Bernardo Cantù,Donte Thomas,25,537,176,51,101,50.49505,18,53,33.96226,20,42,47.61905,49,63,32,31,13,3,41,-74
Acqua S.Bernardo Cantù,Frank Gaines,13,408,290,44,88,50.00000,40,120,33.33333,82,94,87.23404,8,42,21,33,18,1,41,-14
Acqua S.Bernardo Cantù,Gabriele Procida,28,435,178,34,66,51.51515,31,80,38.75000,17,27,62.96296,24,47,18,18,12,4,27,-108
Acqua S.Bernardo Cantù,Ivica Radic,6,108,39,17,42,40.47619,0,3,0.00000,5,9,55.55556,11,22,3,8,1,2,14,-18
Acqua S.Bernardo Cantù,Jaaziel Dante Johnson,28,694,304,55,127,43.30709,51,127,40.15748,41,43,95.34884,6,51,76,48,12,0,62,-80
Acqua S.Bernardo Cantù,Jaime Smith,21,603,302,50,96,52.08333,41,106,38.67925,79,84,94.04762,8,28,95,49,12,0,42,-83
Acqua S.Bernardo Cantù,James Woodard,13,370,161,30,71,42.25352,30,75,40.00000,11,21,52.38095,7,38,28,19,11,0,28,18
Acqua S.Bernardo Cantù,Jordan Bayehe,28,443,119,44,93,47.31183,0,5,0.00000,31,51,60.78431,26,55,11,20,14,15,72,-63
Acqua S.Bernardo Cantù,Kavell Bigby-Williams,7,105,45,16,32,50.00000,0,0,,13,19,68.42105,16,19,2,6,3,5,10,-31
Acqua S.Bernardo Cantù,Maarten Leunen,26,672,158,15,28,53.57143,35,91,38.46154,23,28,82.14286,15,123,101,41,16,2,58,-55
Acqua S.Bernardo Cantù,Sha’Markus Kennedy,20,414,178,72,134,53.73134,1,3,33.33333,31,42,73.80952,27,62,17,33,7,35,35,-35
Acqua S.Bernardo Cantù,Simone Caglio,1,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,-5
Acqua S.Bernardo Cantù,Tommaso Lanzi,3,4,0,0,1,0.00000,0,1,0.00000,0,0,,1,0,0,0,0,0,0,0
Allianz Pallacanestro Trieste,Andrea Arnaldo,7,10,8,1,2,50.00000,1,4,25.00000,3,4,75.00000,1,1,0,0,0,0,2,6
Allianz Pallacanestro Trieste,Andrea Coronica,12,43,5,2,3,66.66667,0,3,0.00000,1,2,50.00000,4,4,3,2,1,0,4,-7
Allianz Pallacanestro Trieste,Andrejs Grazulis,27,587,223,66,118,55.93220,21,58,36.20690,28,36,77.77778,37,107,29,14,13,17,57,-63
Allianz Pallacanestro Trieste,Daniele Cavaliero,24,360,94,10,19,52.63158,18,57,31.57895,20,23,86.95652,3,23,35,37,4,1,41,62
Allianz Pallacanestro Trieste,Davide Alviti,31,723,327,58,126,46.03175,57,129,44.18605,40,61,65.57377,30,113,33,26,40,5,66,-70
Allianz Pallacanestro Trieste,Devonte Upson,27,484,192,78,113,69.02655,0,2,0.00000,36,59,61.01695,52,61,17,15,13,12,54,-12
Allianz Pallacanestro Trieste,Federico Mussini,3,21,4,0,4,0.00000,0,1,0.00000,4,4,100.00000,0,1,0,1,1,0,1,1
Allianz Pallacanestro Trieste,Hrvoje Peric,2,42,15,3,7,42.85714,1,1,100.00000,6,6,100.00000,0,9,2,1,1,0,3,9
Allianz Pallacanestro Trieste,Ike Udanoh,6,128,43,14,29,48.27586,1,2,50.00000,12,20,60.00000,10,16,11,10,5,1,11,-25
Allianz Pallacanestro Trieste,Jakob Cebasek,1,14,2,1,1,100.00000,0,4,0.00000,0,0,,0,5,0,0,0,0,3,3
Allianz Pallacanestro Trieste,Juan Manuel Fernandez,28,601,249,55,124,44.35484,37,110,33.63636,28,33,84.84848,3,63,120,61,23,0,82,-44
Allianz Pallacanestro Trieste,Marcos Delia,28,616,290,115,206,55.82524,0,1,0.00000,60,93,64.51613,55,95,44,30,10,12,33,-42
Allianz Pallacanestro Trieste,Matteo Da Ros,28,584,122,38,78,48.71795,11,32,34.37500,13,27,48.14815,11,84,52,27,16,7,59,41
Allianz Pallacanestro Trieste,Milton Doyle,31,873,381,65,148,43.91892,74,207,35.74879,29,38,76.31579,11,59,108,88,42,6,77,-57
Allianz Pallacanestro Trieste,Myke Henry,27,592,297,91,136,66.91176,24,77,31.16883,43,49,87.75510,15,93,30,45,32,10,59,-1
Allianz Pallacanestro Trieste,Tommaso Laquintana,31,522,196,56,130,43.07692,24,75,32.00000,12,24,50.00000,16,55,49,50,22,0,54,-57
A|X Armani Exchange Milano,Andrea Cinciarini,30,341,67,15,38,39.47368,7,29,24.13793,16,20,80.00000,13,36,45,12,25,1,36,59
A|X Armani Exchange Milano,Davide Moretti,17,136,42,7,18,38.88889,7,26,26.92308,7,8,87.50000,1,9,13,8,6,0,22,0
A|X Armani Exchange Milano,Francesco Gravaghi,1,2,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,-7
A|X Armani Exchange Milano,Jakub Wojciechowski,10,61,16,6,8,75.00000,1,1,100.00000,1,2,50.00000,9,9,2,2,1,1,9,-7
A|X Armani Exchange Milano,Jeff Brooks,33,488,100,21,43,48.83721,15,38,39.47368,13,15,86.66667,22,69,26,13,19,17,32,54
A|X Armani Exchange Milano,Kaleb Tarczewski,20,352,127,50,91,54.94505,0,0,,27,42,64.28571,52,59,10,20,5,13,46,19
A|X Armani Exchange Milano,Kevin Punter,28,612,310,52,120,43.33333,47,119,39.49580,65,77,84.41558,1,45,39,40,28,2,55,85
A|X Armani Exchange Milano,Kyle Hines,23,506,175,72,123,58.53659,0,2,0.00000,31,42,73.80952,43,83,39,27,30,16,59,192
