Team,team,Conference,Division,Rank,Playoff
Acqua S.Bernardo Cantù,,,,15,N
Allianz Pallacanestro Trieste,,,,7,Y
A|X Armani Exchange Milano,,,,1,Y
Banco di Sardegna Sassari,,,,5,Y
Carpegna Prosciutto Pesaro,,,,13,N
De'Longhi Treviso,,,,6,Y
Dolomiti Energia Trentino,,,,8,Y
Fortitudo Lavoropiù Bologna,,,,12,N
Germani Brescia,,,,9,N
Happy Casa Brindisi,,,,2,Y
Openjobmetis Varese,,,,14,N
UNAHOTELS Reggio Emilia,,,,11,N
Umana Reyer Venezia,,,,4,Y
Vanoli Basket Cremona,,,,10,N
Virtus Segafredo Bologna,,,,3,Y
