Team,GP,MIN,PTS,W,L,P2M,P2A,P2p,P3M,P3A,P3p,FTM,FTA,FTp,OREB,DREB,AST,TOV,STL,BLK,PF,PM
Acqua S.Bernardo Cantù,28,5625,2179,9,19,497,1005,49.45274,266,728,36.53846,387,504,76.78571,254,749,472,380,146,71,504,-134
Allianz Pallacanestro Trieste,31,6200,2448,14,17,653,1244,52.49196,269,763,35.25557,335,479,69.93737,295,847,533,412,223,71,606,-51
A|X Armani Exchange Milano,38,7600,3182,28,10,715,1427,50.10512,381,937,40.66169,609,728,83.65385,353,1008,659,442,264,106,715,335
Banco di Sardegna Sassari,33,6650,2948,20,13,687,1236,55.58252,328,810,40.49383,590,756,78.04233,315,887,608,482,257,55,647,110
Carpegna Prosciutto Pesaro,28,5625,2271,10,18,524,1006,52.08748,282,805,35.03106,377,489,77.09611,309,674,453,328,187,30,603,-93
De'Longhi Treviso,31,6225,2608,14,17,632,1232,51.29870,287,827,34.70375,483,612,78.92157,325,724,523,353,238,66,654,-144
Dolomiti Energia Trentino,31,6250,2397,13,18,605,1241,48.75101,274,787,34.81576,365,504,72.42063,314,764,480,381,257,60,613,-86
Fortitudo Lavoropiù Bologna,28,5600,2179,10,18,585,1074,54.46927,219,640,34.21875,352,493,71.39959,224,728,500,375,204,93,493,-112
Germani Brescia,28,5650,2299,11,17,587,1150,51.04348,255,690,36.95652,360,428,84.11215,277,705,521,363,202,49,605,-90
Happy Casa Brindisi,34,6800,2860,23,11,698,1279,54.57389,297,913,32.53012,573,762,75.19685,380,976,548,413,230,87,629,219
Openjobmetis Varese,28,5675,2271,10,18,471,911,51.70143,304,873,34.82245,417,558,74.73118,286,748,416,359,155,52,569,-162
UNAHOTELS Reggio Emilia,28,5625,2122,10,18,502,1024,49.02344,242,698,34.67049,392,507,77.31755,285,716,440,378,174,51,570,-139
Umana Reyer Venezia,36,7250,2885,22,14,657,1212,54.20792,381,1049,36.32031,428,624,68.58974,326,955,615,498,244,95,832,49
Vanoli Basket Cremona,28,5700,2370,11,17,577,1125,51.28889,264,761,34.69120,424,552,76.81159,265,779,488,316,177,76,556,-25
Virtus Segafredo Bologna,38,7625,3230,29,9,804,1429,56.26312,363,1021,35.55338,533,718,74.23398,411,1114,835,533,288,108,798,323
