Team,GP,MIN,PTS,W,L,P2M,P2A,P2p,P3M,P3A,P3p,FTM,FTA,FTp,OREB,DREB,AST,TOV,STL,BLK,PF,PM
Allianz Pallacanestro Trieste,30,6100,2390,14,16,660,1211,54.50041,225,659,34.14264,395,529,74.66919,252,849,521,402,149,83,566,-74
A|X Armani Exchange Milano,35,7050,2915,29,6,687,1239,55.44794,366,967,37.84902,443,571,77.58319,351,949,653,375,253,87,631,401
Banco di Sardegna Sassari,36,7275,3078,20,16,718,1349,53.22461,378,1001,37.76224,508,648,78.39506,345,918,684,435,286,64,740,98
Bertram Derthona Basket Tortona,37,7450,2911,20,17,695,1412,49.22096,366,989,37.00708,423,550,76.90909,367,965,634,438,247,75,702,-4
Carpegna Prosciutto Pesaro,33,6675,2590,14,19,653,1269,51.45784,287,807,35.56382,423,567,74.60317,349,828,486,437,243,66,658,-155
Dolomiti Energia Trentino,30,6100,2345,11,19,620,1300,47.69231,240,670,35.82090,385,556,69.24460,321,782,365,351,199,67,545,-102
Fortitudo Kigili Bologna,30,6025,2429,9,21,569,1094,52.01097,276,766,36.03133,463,633,73.14376,271,725,474,316,198,61,546,-82
GeVi Napoli Basket,30,6075,2393,11,19,610,1181,51.65114,243,752,32.31383,444,613,72.43067,314,847,453,405,201,103,569,-62
Germani Brescia,34,6800,2876,22,12,679,1291,52.59489,338,906,37.30684,504,660,76.36364,354,869,563,423,283,79,712,182
Happy Casa Brindisi,30,6075,2440,12,18,592,1164,50.85911,294,804,36.56716,374,537,69.64618,329,789,493,380,185,51,584,-59
NutriBullet Treviso Basket,30,6075,2366,12,18,525,1052,49.90494,298,847,35.18300,422,541,78.00370,264,756,488,374,201,54,591,-143
Openjobmetis Varese,30,6025,2470,12,18,593,1167,50.81405,292,882,33.10658,408,556,73.38129,350,754,487,329,182,52,602,-185
UNAHOTELS Reggio Emilia,33,6750,2615,15,18,616,1224,50.32680,311,889,34.98313,450,606,74.25743,352,826,638,353,248,56,657,-57
Umana Reyer Venezia,34,6825,2589,18,16,599,1149,52.13229,315,944,33.36864,446,606,73.59736,318,895,562,414,218,94,665,11
Vanoli Basket Cremona,30,6075,2386,8,22,629,1237,50.84883,243,737,32.97151,399,523,76.29063,297,782,451,384,204,90,568,-149
Virtus Segafredo Bologna,36,7275,3138,32,4,822,1447,56.80719,326,855,38.12865,516,717,71.96653,375,1094,803,491,268,79,701,380
