,Team,team,Conference,Division,Rank,Playoff
0,Virtus Segafredo Bologna,,,,1,Y
1,A|X Armani Exchange Milano,,,,2,Y
2,Germani Brescia,,,,3,Y
3,Bertram Derthona Basket Tortona,,,,4,Y
4,Umana Reyer Venezia,,,,5,Y
5,Banco di Sardegna Sassari,,,,6,Y
6,UNAHOTELS Reggio Emilia,,,,7,Y
7,Carpegna Prosciutto Pesaro,,,,8,Y
8,Allianz Pallacanestro Trieste,,,,9,N
9,NutriBullet Treviso Basket,,,,10,N
10,Happy Casa Brindisi,,,,11,N
11,Openjobmetis Varese,,,,12,N
12,Dolomiti Energia Trentino,,,,13,N
13,GeVi Napoli Basket,,,,14,N
14,Fortitudo Kigili Bologna,,,,15,N
15,Vanoli Basket Cremona,,,,16,N
