,game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,home_score,away_score,remaining_time,elapsed_time,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Anthony Beane,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,0,0 days 00:10:00,0 days 00:00:00,0 days 00:00:00,113,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,Inizio Tempo
1,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Anthony Beane,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,0,0 days 00:09:56,0 days 00:00:04,0 days 00:00:04,114,Allianz Pallacanestro Trieste,jump ball,,Sagaba Konate,,,,,,,,Sagaba Konate,,,,,,jump ball,,,,,,Palla contesa
2,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Anthony Beane,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,0,0 days 00:09:56,0 days 00:00:04,0 days 00:00:00,115,Openjobmetis Varese,foul,,,,,,,,Andrejs Grazulis,,Justin Reyes,,,personal foul,,,personal foul,,,,,,Fallo commesso
3,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Anthony Beane,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,0,0 days 00:09:56,0 days 00:00:04,0 days 00:00:00,117,Allianz Pallacanestro Trieste,miss,,,,,,,,,,Corey Davis,0.0,,,missed,,Jump Shot,8.920696343335537,9.0,67.0,8.2674,32.9707,2 punti sbagliato
4,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Anthony Beane,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,0,0 days 00:09:56,0 days 00:00:04,0 days 00:00:00,118,Openjobmetis Varese,rebound,,,,,,,,,,Anthony Beane,,,,,,rebound defensive,,,,,,Rimbalzo difensivo
5,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Anthony Beane,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,0,0 days 00:09:56,0 days 00:00:04,0 days 00:00:00,119,Openjobmetis Varese,miss,,,,,,,,,,Giovanni De Nicolao,0.0,,,missed,,Jump Shot,11.043268351353234,92.0,28.0,84.5112,13.7788,2 punti sbagliato
6,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Anthony Beane,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,0,0 days 00:09:56,0 days 00:00:04,0 days 00:00:00,120,Allianz Pallacanestro Trieste,rebound,,,,,,,,,,Sagaba Konate,,,,,,rebound defensive,,,,,,Rimbalzo difensivo
7,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Anthony Beane,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,0,0 days 00:09:56,0 days 00:00:04,0 days 00:00:00,121,Allianz Pallacanestro Trieste,miss,,,,,,,,,,Adrian Banks,0.0,,,missed,,Jump Shot,15.565874410388902,11.0,20.0,10.1046,9.841999999999999,2 punti sbagliato
8,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Anthony Beane,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,0,0 days 00:09:56,0 days 00:00:04,0 days 00:00:00,122,Allianz Pallacanestro Trieste,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Rimbalzi offensivi di squadra
9,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Anthony Beane,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,3,0 days 00:09:56,0 days 00:00:04,0 days 00:00:00,123,Allianz Pallacanestro Trieste,shot,Adrian Banks,,,,,,,,,Corey Davis,3.0,,,made,,Jump Shot,24.37373618980069,14.0,97.0,12.8604,47.7337,3 punti segnato
10,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Anthony Beane,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,3,0 days 00:09:56,0 days 00:00:04,0 days 00:00:00,125,Openjobmetis Varese,turnover,,,,,,,,,,Anthony Beane,,,lost ball,,Adrian Banks,lost ball,,,,,,Palla persa
11,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Anthony Beane,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,6,0 days 00:09:56,0 days 00:00:04,0 days 00:00:00,127,Allianz Pallacanestro Trieste,shot,Adrian Banks,,,,,,,,,Corey Davis,3.0,,,made,,Jump Shot,25.78122736120218,20.0,95.0,18.372,46.7495,3 punti segnato
12,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Anthony Beane,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,6,0 days 00:08:40,0 days 00:01:20,0 days 00:01:16,129,Openjobmetis Varese,turnover,,,,,,,,,,Paulius Sorokas,,,traveling,,,traveling,,,,,,Palla persa
13,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Siim-Sander Vene,Paulius Sorokas,Giovanni De Nicolao,Justin Reyes,Matteo Librizzi,1,0,6,0 days 00:08:32,0 days 00:01:28,0 days 00:00:08,130,Openjobmetis Varese,sub,,,,,Siim-Sander Vene,Anthony Beane,,,,Anthony Beane,,,,,,,,,,,,Substitution
14,23482,2021-2022 Regular Season,2022-01-08 20:00:00,Adrian Banks,Corey Davis,Sagaba Konate,Fabio Mian,Andrejs Grazulis,Siim-Sander Vene,Paulius Sorokas,Giovanni De Nicolao,Marcus Keene,Matteo Librizzi,1,0,6,0 days 00:08:32,0 days 00:01:28,0 days 00:00:00,132,Openjobmetis Varese,sub,,,,,Marcus Keene,Justin Reyes,,,,Justin Reyes,,,,,,,,,,,,Substitution
